season,game,interceptions_caught,interceptions_thrown,win
2015,1,2,0,0
2015,2,2,2,0
2015,3,0,1,1
2015,4,0,1,0
2015,5,2,3,1
2015,6,3,1,1
2015,7,1,0,0
2015,8,0,0,1
2015,9,1,0,0
2015,10,3,1,0
2015,11,0,0,0
2015,12,0,0,1
2015,13,1,1,1
2015,14,2,0,0
2015,15,0,0,0
2015,16,1,1,1
2016,1,1,1,1
2016,2,1,1,1
2016,3,1,1,1
2016,5,0,0,0
2016,6,1,1,0
2016,7,1,1,1
2016,8,1,2,0
2016,9,2,1,0
2016,10,1,0,1
2016,11,0,0,0
2016,12,0,0,0
2016,13,0,1,0
2016,14,1,1,0
2016,15,1,3,0
2016,16,3,2,1
2016,17,2,0,1
2017,1,1,1,1
2017,2,0,0,0
2017,3,2,2,1
2017,4,0,0,1
2017,5,0,0,1
2017,6,3,3,1
2017,7,1,1,1
2017,8,2,2,1
2017,9,2,2,1
2017,10,3,3,1
2017,11,2,2,1
2017,12,0,0,0
2017,13,0,0,1
2017,14,1,1,1
2017,15,2,2,1
2017,16,0,0,0
2018,1,1,1,1
2018,2,0,1,0
2018,3,1,0,1
2018,4,0,1,0
2018,5,0,0,0
2018,6,0,1,1
2018,7,0,0,0
2018,8,1,0,1
2018,9,1,0,0
2018,10,3,0,0
2018,11,0,1,1
2018,12,1,1,1
2018,13,0,2,0
2018,14,1,1,1
2018,15,1,0,1
2018,16,1,1,1